CallID,StartTime,AnsweredTime,UserID,UserName,FromNumber,ToNumber,IVRName,direction,IsAnswered,LastState,TotalDuration
CALLID12189316040805566716,2026-03-02 09:00:38,2026-03-02 09:00:56,USER23246881,Yohan Nizelin,33672297907,33465847148,MOBALPA,in,TRUE,ANSWERED,261
CALLID5132827878659953742,2026-03-02 09:02:34,2026-03-02 09:02:48,USER23306160,Bradley Anseline,33617707788,33465847148,MOBALPA,in,TRUE,ANSWERED,257
CALLID15711796942864460449,2026-03-02 09:02:42,2026-03-02 09:05:27,USER23246881,Yohan Nizelin,33297339540,33465847148,MOBALPA,in,TRUE,ANSWERED,503
CALLID3168772712600440338,2026-03-02 09:05:32,2026-03-02 09:07:00,USER23306160,Bradley Anseline,33688737323,33465847148,MOBALPA,in,TRUE,ANSWERED,416
CALLID15161941774184733876,2026-03-02 09:06:14,2026-03-02 09:11:13,USER23246881,Yohan Nizelin,33698626982,33465847148,MOBALPA,in,TRUE,ANSWERED,637
CALLID1468699328524749107,2026-03-02 09:06:56,,,,33778100125,33465847148,MOBALPA,in,FALSE,MISSED,192
CALLID14805981602406171083,2026-03-02 09:07:34,2026-03-02 09:17:15,USER23246881,Yohan Nizelin,33626893509,33465847148,MOBALPA,in,TRUE,ANSWERED,806
CALLID8413854595131446642,2026-03-02 09:09:12,2026-03-02 09:18:05,USER23306160,Bradley Anseline,33645381308,33465847148,MOBALPA,in,TRUE,ANSWERED,870
CALLID2408145946983726462,2026-03-02 09:12:40,,,,33147077032,33465847148,MOBALPA,in,FALSE,VOICEMAIL,616
CALLID2667649693640904278,2026-03-02 09:12:50,,,,33950536028,33465847148,MOBALPA,in,FALSE,VOICEMAIL,615
CALLID6179266163314150288,2026-03-02 09:15:12,2026-03-02 09:24:22,USER23306160,Bradley Anseline,33677556932,33465847148,MOBALPA,in,TRUE,ANSWERED,1026
CALLID17604729170937517479,2026-03-02 09:16:16,,,,33384928858,33465847148,MOBALPA,in,FALSE,VOICEMAIL,616
CALLID17950202748207865380,2026-03-02 09:17:12,2026-03-02 09:26:54,USER23246881,Yohan Nizelin,33608466361,33465847148,MOBALPA,in,TRUE,ANSWERED,972
CALLID1980380955281704894,2026-03-02 09:21:42,,,,33385342819,33465847148,MOBALPA,in,FALSE,VOICEMAIL,616
CALLID14713740837576125740,2026-03-02 09:23:48,,,,33147077032,33465847148,MOBALPA,in,FALSE,VOICEMAIL,616
CALLID12855636350977619032,2026-03-02 09:24:44,2026-03-02 09:34:01,USER23246881,Yohan Nizelin,33950536028,33465847148,MOBALPA,in,TRUE,ANSWERED,1684
CALLID4882138595782064322,2026-03-02 09:28:10,2026-03-02 09:34:11,USER23246882,Loana Nibert,33384928858,33465847148,MOBALPA,in,TRUE,ANSWERED,727
CALLID7732606620830836064,2026-03-02 09:30:04,2026-03-02 09:34:15,USER23306160,Bradley Anseline,33254801850,33465847148,MOBALPA,in,TRUE,ANSWERED,767
CALLID10144398816656225960,2026-03-02 09:30:08,,,,33645115153,33465847148,MOBALPA,in,FALSE,VOICEMAIL,617
CALLID9853451754298593584,2026-03-02 09:30:20,,,,33618375714,33465847148,MOBALPA,in,FALSE,MISSED,509
CALLID8133177428108867274,2026-03-02 09:33:12,2026-03-02 09:40:25,USER23246882,Loana Nibert,33614976981,33465847148,MOBALPA,in,TRUE,ANSWERED,915
CALLID14130999835062955355,2026-03-02 09:34:28,,,,33680628852,33465847148,MOBALPA,in,FALSE,MISSED,421
CALLID63113612411174097,2026-03-02 09:34:54,,,,33147077032,33465847148,MOBALPA,in,FALSE,MISSED,14
CALLID7978846420730511934,2026-03-02 09:38:04,2026-03-02 09:43:50,USER23306160,Bradley Anseline,33603511690,33465847148,MOBALPA,in,TRUE,ANSWERED,452
CALLID13905806727463878022,2026-03-02 09:41:18,2026-03-02 09:46:18,USER23306160,Bradley Anseline,33645381308,33465847148,MOBALPA,in,TRUE,ANSWERED,498
CALLID1068286679030198238,2026-03-02 09:41:21,2026-03-02 09:48:56,USER23246882,Loana Nibert,33666359105,33465847148,MOBALPA,in,TRUE,ANSWERED,717
CALLID14339364400762369756,2026-03-02 09:41:56,2026-03-02 09:49:43,USER23306160,Bradley Anseline,33645115153,33465847148,MOBALPA,in,TRUE,ANSWERED,917
CALLID11381251316611882238,2026-03-02 09:44:22,2026-03-02 09:52:58,USER23246881,Yohan Nizelin,33612312860,33465847148,MOBALPA,in,TRUE,ANSWERED,654
CALLID5939392515920090841,2026-03-02 09:44:58,2026-03-02 09:53:42,USER23246882,Loana Nibert,33670742892,33465847148,MOBALPA,in,TRUE,BLIND_TRANSFERED,1023
CALLID14217576137050645565,2026-03-02 09:51:19,2026-03-02 09:55:25,USER23246881,Yohan Nizelin,33698033946,33465847148,MOBALPA,in,TRUE,ANSWERED,669
CALLID12176773182890886636,2026-03-02 09:51:25,,,,33789397729,33465847148,MOBALPA,in,FALSE,VOICEMAIL,615
CALLID5138763397574336551,2026-03-02 09:51:39,2026-03-02 10:01:38,USER23306161,Davina Louis,33494731795,33465847148,MOBALPA,in,TRUE,ANSWERED,1030
CALLID16390140946861286368,2026-03-02 09:53:55,2026-03-02 10:01:47,USER23306160,Bradley Anseline,33782317367,33465847148,MOBALPA,in,TRUE,ANSWERED,759
CALLID13354405717901556094,2026-03-02 09:58:51,,,,33680628852,33465847148,MOBALPA,in,FALSE,MISSED,10
CALLID2375391926653679185,2026-03-02 09:59:01,2026-03-02 10:02:05,USER23246882,Loana Nibert,33147077032,33465847148,MOBALPA,in,TRUE,ANSWERED,688
